timestamp,protocol,src_ip,src_port,dst_ip,dst_port,size_bytes,alert
2026-05-22 16:58:07.125,TCP,192.168.0.160,8009,192.168.0.236,36724,176,
2026-05-22 16:58:07.126,TCP,192.168.0.236,36724,192.168.0.160,8009,66,
2026-05-22 16:58:07.608,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:58:08.122,UDP,192.168.0.99,33408,192.168.0.255,15600,77,
2026-05-22 16:58:08.940,UDP,192.168.0.178,33672,192.168.0.255,15600,77,
2026-05-22 16:58:09.040,DNS,192.168.0.160,5353,224.0.0.251,5353,82,
2026-05-22 16:58:09.041,DNS,192.168.0.160,5353,224.0.0.251,5353,123,
2026-05-22 16:58:09.043,DNS,192.168.0.160,5353,224.0.0.251,5353,397,
2026-05-22 16:58:09.045,DNS,192.168.0.160,5353,224.0.0.251,5353,190,
2026-05-22 16:58:09.046,DNS,192.168.0.160,5353,224.0.0.251,5353,81,
2026-05-22 16:58:09.047,DNS,192.168.0.160,5353,224.0.0.251,5353,220,
2026-05-22 16:58:09.451,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:58:09.564,HTTPS,192.168.0.236,35654,192.200.0.114,443,66,
2026-05-22 16:58:09.719,HTTPS,192.200.0.114,443,192.168.0.236,35654,84,
2026-05-22 16:58:11.088,UDP,192.168.0.99,34381,239.255.255.250,15600,77,
2026-05-22 16:58:11.192,UDP,192.168.0.194,49154,255.255.255.255,6667,230,
2026-05-22 16:58:11.704,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
2026-05-22 16:58:12.015,UDP,192.168.0.178,49714,239.255.255.250,15600,77,
2026-05-22 16:58:12.527,UDP,192.168.0.176,63705,255.255.255.255,6667,214,
2026-05-22 16:58:14.060,UDP,192.168.0.99,47689,192.168.0.255,15600,77,
2026-05-22 16:58:14.469,UDP,192.168.0.9,55142,255.255.255.255,6667,214,
2026-05-22 16:58:14.980,UDP,192.168.0.178,55951,192.168.0.255,15600,77,
2026-05-22 16:58:16.722,UDP,192.168.0.244,56446,255.255.255.255,6667,214,
